SITE,SECTORID,RECOMMENDATION_TYPE,COST,PRIORITY,CLUSTERID,CLUSTER_LEVEL,GROUP_ID,IMPLEMENTATION_DATE
25001061303,180,Entrance L2600,96596.01,2,55474076,NO,,1
25001061303,60,Entrance L2600,181002.28,2,55474076,NO,,1
25001061303,180,Refarming L2100,96596.01,3,55474076,YES,2,2
25001061303,60,Refarming L2100,181002.28,3,55474076,YES,2,2
25001061347,270,Entrance L2600,215127.32,2,55474033,NO,,1
25001061360,215,Refarming L2100,37390.33,3,55473978,YES,2,2
25001061360,325,Refarming L2100,91457.19,3,55473978,YES,2,2
25001061360,90,Refarming L2100,15822.24,3,55473978,YES,2,2
25001063317,170,Entrance L2600,155456.67,2,55474033,NO,,1
25001063317,70,Entrance L2600,61381.99,2,55474033,NO,,1
25001063365,100,Entrance L2600,204964.07,2,55474033,NO,,1
25001063365,220,Entrance L2600,153801.29,2,55474033,NO,,1
25001063365,340,Entrance L2600,94988.27,2,55474033,NO,,3
25001063365,100,Refarming L2100,204964.07,3,55474033,YES,2,4
25001063365,220,Refarming L2100,153801.29,3,55474033,YES,2,4
25001063373,170,Refarming L2100,74958.21,3,55473978,YES,2,2
25001063373,270,Refarming L2100,142315.84,3,55473978,YES,2,2
25001063373,30,Refarming L2100,49721.35,3,55473978,YES,2,2
25001063374,140,Refarming L2100,107410.29,3,55473978,YES,2,2
25001063374,20,Refarming L2100,81076.62,3,55473978,YES,2,2
25001063374,260,Refarming L2100,142644.6,3,55473978,YES,2,2
25001063382,187,Refarming L2100,71357.68,3,55473978,YES,2,2
25001063382,300,Refarming L2100,164406.64,3,55473978,YES,2,2
25001063382,60,Refarming L2100,141104.3,3,55473978,YES,2,2
25001063383,170,Refarming L2100,94301.67,3,55473978,YES,2,2
25001063383,315,Refarming L2100,120926.87,3,55473978,YES,2,2
25001063383,65,Refarming L2100,70312.39,3,55473978,YES,2,2
25001063385,180,Refarming L2100,52285.78,3,55473978,YES,2,2
25001063385,280,Refarming L2100,69513.77,3,55473978,YES,2,2
25001064607,180,Entrance L2600,103609.07,2,55474033,NO,,1
25001064607,310,Entrance L2600,199021.39,2,55474033,NO,,3
25001064607,70,Entrance L2600,29138.71,2,55474033,NO,,1
25001064607,180,Refarming L2100,103609.07,3,55474033,YES,2,4
25001064607,70,Refarming L2100,29138.71,3,55474033,YES,2,4
25001064610,0,Entrance L2600,208064.76,2,55473978,NO,,3
25001064610,120,Entrance L2600,283203.65,2,55473978,NO,,3
25001064610,252,Entrance L2600,215153.87,2,55473978,NO,,1
25001064610,252,Refarming L2100,215153.87,3,55473978,YES,2,2
25001064613,15,Entrance L2600,139488.54,2,55474033,NO,,3
25001064613,300,Entrance L2600,71400.96,2,55474033,NO,,3
25001064615,50,Entrance L2600,227553.02,2,55474033,NO,,3
25001064650,180,Entrance L2600,109842.06,2,55474158,NO,,3
25001064650,330,Entrance L2600,98932.24,2,55474158,NO,,3
25001064650,80,Entrance L2600,174821.14,2,55474158,NO,,3
25001064650,180,Refarming L2100,109842.06,3,55474158,YES,2,4
25001064650,330,Refarming L2100,98932.24,3,55474158,YES,2,4
25001064650,80,Refarming L2100,174821.14,3,55474158,YES,2,4
25001064651,180,Entrance L2600,96629.24,2,55474033,NO,,3
25001064651,300,Entrance L2600,183974.23,2,55474033,NO,,3
25001064651,60,Entrance L2600,152622.58,2,55474033,NO,,3
25001066369,180,Refarming L2100,113350.82,3,55473978,YES,2,2
25001066369,295,Refarming L2100,89926.71,3,55473978,YES,2,2
25001066369,80,Refarming L2100,223948.47,3,55473978,YES,2,2
25001066371,195,Refarming L2100,73791.86,3,55473978,YES,2,2
25001066371,310,Refarming L2100,56653.38,3,55473978,YES,2,2
25001066371,67,Refarming L2100,127145.14,3,55473978,YES,2,2
